

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

     SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
       2  20.734940             1         2         2                  
       3  20.773472             1         3         3                  
       4  20.792886             1         4         4                  
       5  20.829048             1         5         5                  
       6  21.050971             1         6         6                  
       7  21.619999             1         7         7                  
       8  22.582768             1         8         8                  
       9  23.925006             1         9         9                  
      10  25.374146             1        10        10                  
      11  26.104161             1        11        11                  
      13  38.663786             1        13        13                  
      15  42.185624             1        15        15                  
      16  46.907986             1        16        16                  
      17  52.444453             1        17        17                  
      19  58.627513             1        19        19                  
      20  65.365920             1        20        20                  
      22  72.598114             1        22        22                  
      23  80.270891             1        23        23                  
      25  88.296523             1        25        25                  
      27  99.046975             1        27        27                  
      28  106.19070             1        28        28                  
      30  115.34310             1        30        30                  
      32  124.90152             1        32        32                  
      33  134.79089             1        33        33                  
      35  144.97841             1        35        35                  
      37  155.43451             1        37        37                  
      39  166.11925             1        39        39                  
      41  176.94967             1        41        41                  
      42  187.60668             1        42        42                  
      45  206.29393             1        45        45                  
      46  213.61907             1        46        46                  
      48  224.92605             1        48        48                  
      50  236.83925             1        50        50                  
      52  249.03821             1        52        52                  
      54  261.43599             1        54        54                  
      56  273.98219             1        56        56                  
      58  286.61851             1        58        58                  
      60  299.22076             1        60        60                  
      61  311.30452             1        61        61                  
      64  334.74155             1        64        64                  
      66  342.33745             1        66        66                  
      68  354.77150             1        68        68                  
      70  367.95745             1        70        70                  
      72  381.41022             1        72        72                  
      74  395.00336             1        74        74                  UNTIL 75
      76  408.67201             1        76        76                  
      77  420.41174             1        77        77                  
      78  422.34718             1        78        78                  
      79  434.00085             1        79        79                  
      80  435.88312             1        80        80                  
      81  447.59257             1        81        81                  
      82  448.71240             1        82        82                  
      83  461.18699             1        83        83                  
      84  474.58435             1        84        84                  
      85  474.78419             1        85        85                  
      86  482.35617             1        86        86                  
      87  488.38425             1        87        87                  
      88  495.35396             1        88        88                  
      89  501.98725             1        89        89                  
      90  509.17099             1        90        90                  
      91  515.59327             1        91        91                  
      92  523.23999             1        92        92                  
      93  529.20240             1        93        93                  
      94  537.41481             1        94        94                  
      95  542.81471             1        95        95                  
      96  551.62429             1        96        96                  
      97  556.43030             1        97        97                  
      98  565.79615             1        98        98                  
      99  570.04924             1        99        99                  
     100  579.77863             1       100       100                  
     101  583.67161             1       101       101                  
     102  592.97939             1       102       102                  
     103  597.29750             1       103       103                  
     104  610.92698             1       104       104                  
     105  619.75437             1       105       105                  
     106  624.56015             1       106       106                  
     107  627.66206             1       107       107                  
     108  638.19707             1       108       108                  
     109  640.93064             1       109       109                  
     110  651.83784             1       110       110                  
     111  655.02662             1       111       111                  
     112  665.48254             1       112       112                  
     113  669.35832             1       113       113                  
     114  679.13125             1       114       114                  
     115  683.77481             1       115       115                  
     116  692.78404             1       116       116                  
     117  698.20467             1       117       117                  
     118  706.44101             1       118       118                  
     119  712.57715             1       119       119                  
     120  720.10224             1       120       120                  
     121  726.74423             1       121       121                  
     122  733.76780             1       122       122                  
     123  740.12372             1       123       123                  
     124  747.43778             1       124       124                  
     125  761.11226             1       125       125                  
     126  766.90713             1       126       126                  
     127  774.79133             1       127       127                  
     128  774.94504             1       128       128                  
     129  788.34053             1       129       129                  
     130  788.47507             1       130       130                  
     131  802.16355             1       131       131                  
     132  802.53483             1       132       132                  
     133  815.85686             1       133       133                  
     134  816.94667             1       134       134                  
     135  829.55509             1       135       135                  
     136  831.42951             1       136       136                  
     137  843.25831             1       137       137                  
     138  845.91517             1       138       138                  
     139  856.96662             1       139       139                  
     140  860.33713             1       140       140                  
     141  870.68008             1       141       141                  
     142  874.55621             1       142       142                  
     143  884.39879             1       143       143                  
     144  888.01923             1       144       144                  
     145  898.12282             1       145       145                  
     146  911.85226             1       146       146                  
     147  914.34301             1       147       147                  
     148  922.51829             1       148       148                  
     149  925.58719             1       149       149                  
     150  935.97240             1       150       150                  
     151  939.32770             1       151       151                  
     152  950.17720             1       152       152                  
     153  953.07386             1       153       153                  
     154  964.58049             1       154       154                  
     155  966.82576             1       155       155                  
     156  979.04489             1       156       156                  
     157  980.58348             1       157       157                  
     158  993.50719             1       158       158                  
     159  994.34711             1       159       159                  
     160  1007.9062             1       160       160                  
     161  1008.1167             1       161       161                  
     162  1021.8924             1       162       162                  
     163  1022.1139             1       163       163                  
     164  1035.6147             1       164       164                  
     165  1035.6742             1       165       165                  
     166  1049.4623             1       166       166                  
     167  1061.2657             1       167       167                  
     168  1063.2567             1       168       168                  
     169  1069.5873             1       169       169                  
     170  1077.0575             1       170       170                  
     171  1083.0684             1       171       171                  
     172  1090.8648             1       172       172                  
     173  1097.2438             1       173       173                  
     174  1104.6786             1       174       174                  
     175  1111.5990             1       175       175                  
     176  1118.4991             1       176       176                  
     177  1126.0077             1       177       177                  
     178  1132.3263             1       178       178                  
     179  1140.4121             1       179       179                  
     180  1146.1604             1       180       180                  
     181  1154.7569             1       181       181                  
     182  1160.0013             1       182       182                  
     183  1168.9254             1       183       183                  
     184  1173.8492             1       184       184                  
     185  1182.4427             1       185       185                  
     186  1187.7042             1       186       186                  
     187  1201.5664             1       187       187                  
     188  1207.3488             1       188       188                  
     189  1215.4357             1       189       189                  
     190  1215.8236             1       190       190                  
     191  1229.3124             1       191       191                  
     192  1229.3175             1       192       192                  
     193  1243.1965             1       193       193                  
     194  1243.4477             1       194       194                  
     195  1257.0880             1       195       195                  
     196  1257.7400             1       196       196                  
     197  1270.9871             1       197       197                  
